loan_id	customer_id	loan_type	region_killeen	origination_date	maturity_date	origination_amount	current_balance	interest_rate	collateral_value	purpose_segment	days_past_due	loan_status	annual_income	credit_score	dti_ratio	LTV_ratio
L00000050	C655839	Consumer Auto	Other Texas Region	2018-12-09	2028-12-09	295232.98	206770.99	8.0123	317141.95	Consumer_Auto	0	Current	35074	758	0.53	0.652
L00000051	C373538	Consumer Auto	Other Texas Region	2023-01-07	2039-01-07	104113.75	33278.64	13.0576	105311.99	Consumer_Auto	0	Current	64517	765	0.38	0.316
L00000052	C431236	Residential Mortgage	Other Texas Region	2020-12-29	2036-12-29	115030.88	17435.56	10.5538	126698.92	Residential_Mortgage	0	Current	115394	746	0.41	0.1376
L00000053	C628178	Commercial Real Estate (CRE)	Killeen, TX Metro	2019-07-29	2035-07-29	100000	86560.39	5.8257	122958.27	Industrial	0	Current	-1	-1	-1	0.704
L00000054	C665894	Commercial Real Estate (CRE)	Other Texas Region	2018-01-29	2036-01-29	1076889.61	403633.15	9.2772	1225056.41	Retail	0	Current	-1	-1	-1	0.3295
L00000055	C589492	Commercial Real Estate (CRE)	Other Texas Region	2022-05-20	2043-05-20	1898519	686268.63	5.5432	2099722.18	Retail	0	Current	-1	-1	-1	0.3268
L00000056	C356840	Consumer Auto	Killeen, TX Metro	2020-06-23	2032-06-23	77662.22	49987.96	12.9022	90972.48	Consumer_Auto	0	Current	83482	761	0.17	0.5495
L00000057	C573254	Commercial Real Estate (CRE)	Killeen, TX Metro	2022-02-24	2041-02-24	403907.4	304993.95	5.5107	464657.29	Multi-Family	0	Current	-1	-1	-1	0.6564
L00000058	C449457	Residential Mortgage	Killeen, TX Metro	2022-12-23	2036-12-23	1000	381.85	13.7072	1166	Residential_Mortgage	0	Current	139868	676	0.36	0.3275
L00000059	C765987	Consumer Auto	Other Texas Region	2022-11-18	2039-11-18	411610.47	386349.65	7.0931	575875.9	Consumer_Auto	0	Current	163672	660	0.28	0.6709
L00000060	C370936	Commercial Real Estate (CRE)	Killeen, TX Metro	2018-09-29	2023-09-29	1864991.93	728066.84	6.6969	2412118.72	Multi-Family	60	Past Due (60)	-1	-1	-1	0.3018
L00000061	C339931	Residential Mortgage	Other Texas Region	2020-01-12	2028-01-12	42215.57	28133.66	13.7913	50669.21	Residential_Mortgage	0	Current	122699	686	0.45	0.5552
L00000062	C339629	Commercial Real Estate (CRE)	Other Texas Region	2018-10-02	2042-10-02	2295237.18	2135440.09	8.9397	2494900.38	Retail	0	Current	-1	-1	-1	0.8559
L00000063	C305041	Residential Mortgage	Other Texas Region	2022-07-30	2046-07-30	103047.73	10575.36	4.7731	110446.04	Residential_Mortgage	0	Current	58398	710	0.17	0.0958
L00000064	C798361	Commercial Real Estate (CRE)	Other Texas Region	2019-10-16	2039-10-16	876749.88	805786.96	8.8976	1101337.77	Multi-Family	0	Current	-1	-1	-1	0.7316
L00000065	C831912	Residential Mortgage	Killeen, TX Metro	2021-02-10	2040-02-10	95046.34	37039.12	7.1433	96071.63	Residential_Mortgage	0	Current	106756	715	0.42	0.3855
L00000066	C517113	Consumer Auto	Killeen, TX Metro	2021-01-17	2027-01-17	193322.18	81335.31	4.8671	257891.37	Consumer_Auto	0	Current	41208	737	0.25	0.3154
L00000067	C168148	Residential Mortgage	Other Texas Region	2020-12-20	2026-12-20	1000	924.72	11.0353	1066.43	Residential_Mortgage	0	Current	114955	718	0.34	0.8671
L00000068	C877089	Residential Mortgage	Other Texas Region	2022-05-10	2028-05-10	397095.41	76621.34	14.3934	419292.87	Residential_Mortgage	0	Current	132472	757	0.16	0.1827
L00000069	C748531	Consumer Auto	Killeen, TX Metro	2023-02-15	2034-02-15	239593.03	200839.39	5.8633	278761.01	Consumer_Auto	0	Current	40503	704	0.22	0.7205
L00000070	C351995	Commercial Real Estate (CRE)	Killeen, TX Metro	2023-06-22	2039-06-22	1264675.1	508226.37	8.8969	1593723.47	Office	0	Current	-1	-1	-1	0.3189
L00000071	C778843	Consumer Auto	Other Texas Region	2018-10-27	2042-10-27	159637.48	144107.99	8.197	184330.19	Consumer_Auto	0	Current	90366	778	0.23	0.7818
L00000072	C672843	Commercial Real Estate (CRE)	Other Texas Region	2020-03-03	2034-03-03	525123.99	343368.69	7.7819	670891.8	Industrial	30	Past Due (30)	-1	-1	-1	0.5118
L00000073	C356508	Residential Mortgage	Killeen, TX Metro	2021-09-01	2039-09-01	146632.39	37645.69	13.8644	173841.88	Residential_Mortgage	0	Current	62578	729	0.45	0.2166
L00000074	C903591	Commercial Real Estate (CRE)	Other Texas Region	2021-07-28	2039-07-28	1235500.06	1181715.95	7.6704	1396031.15	Retail	0	Current	-1	-1	-1	0.8465
L00000075	C996942	Commercial Real Estate (CRE)	Killeen, TX Metro	2021-04-29	2036-04-29	510420.13	380625.66	5.7993	575383.37	Office	0	Current	-1	-1	-1	0.6615
L00000076	C206530	Personal Unsecured	Other Texas Region	2023-01-18	2032-01-18	329986.39	82039.36	10.4203	-1	Personal_Unsecured	30	Past Due (30)	110727	704	0.3	0.2394
L00000077	C704365	Commercial Real Estate (CRE)	Other Texas Region	2021-02-18	2026-02-18	1549871.57	443184.41	6.3046	1765110.63	Retail	0	Current	-1	-1	-1	0.2511
L00000078	C922352	Residential Mortgage	Other Texas Region	2023-11-22	2040-11-22	21654.64	21613.75	14.7294	23710.33	Residential_Mortgage	0	Current	57158	850	0.41	0.9116
L00000079	C560337	Residential Mortgage	Other Texas Region	2018-12-02	2040-12-02	100896.74	75851.74	9.97	103062.6	Residential_Mortgage	0	Current	120577	692	0.16	0.736
L00000080	C824839	Residential Mortgage	Other Texas Region	2023-12-22	2035-12-22	241616.57	163471.3	8.9706	242821.17	Residential_Mortgage	0	Current	20000	724	0.27	0.6732
L00000081	C905889	Consumer Auto	Other Texas Region	2023-06-28	2036-06-28	101695.77	88869.94	5.7211	116373.19	Consumer_Auto	0	Current	87493	765	0.26	0.7637
L00000082	C559773	Personal Unsecured	Killeen, TX Metro	2019-12-30	2036-12-30	255504.86	184855.27	12.87	-1	Personal_Unsecured	60	Past Due (60)	144128	628	0.15	0.5763
L00000083	C308261	Residential Mortgage	Killeen, TX Metro	2021-10-19	2030-10-19	76886.87	76873.6	14.8453	95086.93	Residential_Mortgage	0	Current	24760	755	0.5	0.8085
L00000084	C864469	Commercial Real Estate (CRE)	Killeen, TX Metro	2018-12-14	2035-12-14	743110.41	377898.91	8.5793	825173.66	Multi-Family	0	Current	-1	-1	-1	0.458
L00000085	C441097	Commercial Real Estate (CRE)	Other Texas Region	2020-04-21	2027-04-21	2213435.61	594156.45	6.0406	2781079.18	Retail	0	Current	-1	-1	-1	0.2136
L00000086	C415139	Residential Mortgage	Killeen, TX Metro	2020-06-21	2037-06-21	193841.09	134381.86	13.0017	260538.15	Residential_Mortgage	0	Current	101751	711	0.27	0.5158
L00000087	C271829	Commercial Real Estate (CRE)	Other Texas Region	2018-03-16	2036-03-16	946110.88	478051.82	9.4287	985563.02	Industrial	0	Current	-1	-1	-1	0.4851
L00000088	C371836	Residential Mortgage	Killeen, TX Metro	2022-12-09	2036-12-09	198999.95	146935.18	6.4649	233054.54	Residential_Mortgage	0	Current	54608	803	0.41	0.6305
L00000089	C538974	Consumer Auto	Killeen, TX Metro	2023-08-19	2038-08-19	115260.89	86850.42	8.2675	162679.91	Consumer_Auto	0	Current	35343	711	0.32	0.5339
L00000090	C302283	Residential Mortgage	Killeen, TX Metro	2019-01-24	2038-01-24	54836.39	30087.68	5.1718	62864.84	Residential_Mortgage	0	Current	39918	736	0.55	0.4786
L00000091	C296769	Commercial Real Estate (CRE)	Other Texas Region	2023-04-30	2047-04-30	1500772.68	971729.76	5.7889	1535470.62	Office	0	Current	-1	-1	-1	0.6329
L00000092	C661353	Residential Mortgage	Killeen, TX Metro	2018-08-07	2042-08-07	153904.59	149546.7	4.4397	166072.61	Residential_Mortgage	0	Current	103720	693	0.53	0.9005
L00000093	C323165	Consumer Auto	Other Texas Region	2018-09-12	2034-09-12	118380.99	18714.63	7.2925	147389.26	Consumer_Auto	0	Current	107115	709	0.39	0.127
L00000094	C723587	Residential Mortgage	Killeen, TX Metro	2023-07-18	2029-07-18	159745.76	100164.19	14.2959	214347.97	Residential_Mortgage	0	Current	68712	757	0.33	0.4673
L00000095	C635822	Commercial Real Estate (CRE)	Other Texas Region	2023-11-24	2028-11-24	1710431.69	1706608.53	6.9776	2128349.49	Office	0	Current	-1	-1	-1	0.8018
L00000096	C587879	Residential Mortgage	Killeen, TX Metro	2020-12-06	2038-12-06	1000	589.99	11.8275	1311.98	Residential_Mortgage	0	Current	62509	803	0.25	0.4497
L00000097	C664685	Residential Mortgage	Killeen, TX Metro	2018-02-09	2033-02-09	184697.88	129751.25	5.7377	229430.42	Residential_Mortgage	0	Current	102333	759	0.31	0.5655
L00000098	C882038	Commercial Real Estate (CRE)	Other Texas Region	2021-06-29	2036-06-29	2156684.94	1377611.83	5.7555	2435470.26	Office	180	Default/Charge-Off	-1	-1	-1	0.5656
L00000099	C453531	Personal Unsecured	Killeen, TX Metro	2023-06-21	2040-06-21	180671.43	119879.5	11.5372	-1	Personal_Unsecured	0	Current	74488	850	0.2	0.5066
L00000100	C363160	Consumer Auto	Other Texas Region	2023-07-26	2036-07-26	72134.49	58055.73	14.562	93423.01	Consumer_Auto	0	Current	131638	666	0.29	0.6214
L00000101	C679879	Residential Mortgage	Other Texas Region	2022-01-08	2037-01-08	213011.06	188081.36	9.5677	219538.33	Residential_Mortgage	0	Current	96593	776	0.17	0.8567
L00000102	C320884	Consumer Auto	Other Texas Region	2023-06-24	2039-06-24	93078.2	51893.82	7.7869	121222.71	Consumer_Auto	0	Current	77368	666	0.52	0.4281
L00000103	C123247	Residential Mortgage	Other Texas Region	2021-09-13	2039-09-13	1000	803.78	6.5244	1209.03	Residential_Mortgage	0	Current	61639	710	0.16	0.6648
L00000104	C124300	Consumer Auto	Other Texas Region	2020-02-08	2030-02-08	189599.19	144175.49	13.2359	230169.5	Consumer_Auto	0	Current	105376	756	0.53	0.6264
L00000105	C567281	Residential Mortgage	Killeen, TX Metro	2021-12-20	2039-12-20	1000	756.99	6.631	1312.76	Residential_Mortgage	0	Current	62565	723	0.26	0.5766
L00000106	C707086	Residential Mortgage	Other Texas Region	2020-08-23	2027-08-23	66174.91	51714.4	10.1488	74260.63	Residential_Mortgage	0	Current	94532	765	0.47	0.6964
L00000107	C633556	Commercial Real Estate (CRE)	Other Texas Region	2018-11-10	2033-11-10	905137.33	464947.92	9.4368	1174715.72	Multi-Family	0	Current	-1	-1	-1	0.3958
L00000108	C448951	Commercial Real Estate (CRE)	Killeen, TX Metro	2023-09-25	2033-09-25	1640796.3	474357.11	8.7461	1713173.15	Multi-Family	0	Current	-1	-1	-1	0.2769
L00000109	C374329	Residential Mortgage	Other Texas Region	2019-08-04	2033-08-04	136293.73	31715.86	10.2153	157649.74	Residential_Mortgage	0	Current	144562	661	0.31	0.2012
L00000110	C819064	Residential Mortgage	Other Texas Region	2019-02-09	2028-02-09	143066.23	25408.73	10.2169	183339.03	Residential_Mortgage	0	Current	80212	783	0.19	0.1386
L00000111	C842139	Residential Mortgage	Killeen, TX Metro	2020-10-03	2038-10-03	1000	135.98	5.6789	1191.75	Residential_Mortgage	30	Past Due (30)	64684	834	0.32	0.1141
L00000112	C532315	Residential Mortgage	Killeen, TX Metro	2023-07-06	2039-07-06	163144.44	109465.53	12.7437	185235.57	Residential_Mortgage	0	Current	78183	728	0.5	0.591
L00000113	C616588	Consumer Auto	Other Texas Region	2023-04-18	2046-04-18	230674.48	112548.08	6.3672	279812.07	Consumer_Auto	60	Past Due (60)	98469	700	0.49	0.4022
L00000114	C336584	Commercial Real Estate (CRE)	Killeen, TX Metro	2019-11-12	2038-11-12	1784673.27	926845.2	6.8039	1890288.45	Retail	0	Current	-1	-1	-1	0.4903
L00000115	C662332	Commercial Real Estate (CRE)	Other Texas Region	2020-12-07	2032-12-07	1319892.27	539423.97	8.6396	1434701.66	Multi-Family	0	Current	-1	-1	-1	0.376
L00000116	C937646	Commercial Real Estate (CRE)	Other Texas Region	2023-02-24	2047-02-24	2153782.5	1706042.71	6.4005	2435343.16	Retail	0	Current	-1	-1	-1	0.7005
L00000117	C476896	Commercial Real Estate (CRE)	Other Texas Region	2019-12-12	2037-12-12	2149214.39	1890801.72	6.7422	2793143.93	Multi-Family	0	Current	-1	-1	-1	0.6769
L00000118	C148984	Residential Mortgage	Other Texas Region	2021-05-26	2036-05-26	271316.63	255966.19	7.7219	350346.55	Residential_Mortgage	0	Current	71549	652	0.54	0.7306
L00000119	C402918	Consumer Auto	Other Texas Region	2022-01-12	2042-01-12	282504.07	134620.6	8.1185	305236.68	Consumer_Auto	0	Current	86977	782	0.27	0.441
L00000120	C364712	Commercial Real Estate (CRE)	Other Texas Region	2021-12-06	2029-12-06	1829784.43	848495.99	9.3225	2196895.9	Office	0	Current	-1	-1	-1	0.3862
L00000121	C220151	Consumer Auto	Killeen, TX Metro	2021-12-15	2032-12-15	82487.61	10379.62	13.4361	92442.14	Consumer_Auto	0	Current	140284	748	0.22	0.1123
L00000122	C555808	Consumer Auto	Other Texas Region	2023-02-05	2030-02-05	121527.94	37541.14	13.1508	145598.37	Consumer_Auto	0	Current	125276	676	0.17	0.2578
L00000123	C233767	Residential Mortgage	Other Texas Region	2023-04-25	2029-04-25	123937.3	71207.45	9.8109	139899.2	Residential_Mortgage	0	Current	20000	733	0.28	0.509
L00000124	C748663	Residential Mortgage	Other Texas Region	2019-09-29	2031-09-29	38859.14	27391.71	9.3551	42200.59	Residential_Mortgage	0	Current	100854	700	0.38	0.6491
L00000125	C803550	Commercial Real Estate (CRE)	Other Texas Region	2021-07-05	2032-07-05	1707795.77	730255.73	9.1819	1752161.49	Multi-Family	0	Current	-1	-1	-1	0.4168
L00000126	C236330	Consumer Auto	Killeen, TX Metro	2022-12-13	2038-12-13	260643.62	181484.15	4.3997	345735.03	Consumer_Auto	0	Current	79578	632	0.45	0.5249
L00000127	C580754	Commercial Real Estate (CRE)	Killeen, TX Metro	2020-06-11	2041-06-11	990835.4	461143.99	8.128	1222052.79	Industrial	0	Current	-1	-1	-1	0.3774
L00000128	C401648	Residential Mortgage	Other Texas Region	2021-07-19	2034-07-19	107820.12	44937.48	14.4726	110419.83	Residential_Mortgage	0	Current	67864	646	0.45	0.407
L00000129	C788519	Residential Mortgage	Killeen, TX Metro	2022-06-09	2032-06-09	236745.2	236151.37	4.4752	258614.6	Residential_Mortgage	0	Current	84829	752	0.47	0.9131
L00000130	C113986	Personal Unsecured	Killeen, TX Metro	2018-07-17	2028-07-17	204224.1	165968.95	13.9745	-1	Personal_Unsecured	0	Current	167686	734	0.37	0.6508
L00000131	C686146	Residential Mortgage	Killeen, TX Metro	2018-06-11	2033-06-11	213844.94	86687.2	8.7704	272367.22	Residential_Mortgage	0	Current	92148	755	0.24	0.3183
L00000132	C229312	Commercial Real Estate (CRE)	Other Texas Region	2023-05-12	2036-05-12	730729.46	291773.37	6.0527	799145.05	Retail	0	Current	-1	-1	-1	0.3651
L00000133	C112666	Residential Mortgage	Killeen, TX Metro	2021-12-21	2033-12-21	173916.56	100544.68	6.1497	187281.22	Residential_Mortgage	0	Current	86453	715	0.42	0.5369
L00000134	C400804	Consumer Auto	Other Texas Region	2021-05-18	2041-05-18	359520.79	228064.87	13.9995	406437.22	Consumer_Auto	0	Current	59539	711	0.42	0.5611
L00000135	C234633	Residential Mortgage	Killeen, TX Metro	2018-10-04	2023-10-04	256738.6	44905.52	5.8155	257211.46	Residential_Mortgage	0	Current	109068	727	0.25	0.1746
L00000136	C388998	Personal Unsecured	Other Texas Region	2020-09-01	2026-09-01	1000	807.71	13.4897	-1	Personal_Unsecured	0	Current	71029	744	0.45	0.7974
L00000137	C950937	Consumer Auto	Other Texas Region	2018-06-07	2035-06-07	59082.57	45638.6	9.1396	67586.84	Consumer_Auto	0	Current	116780	821	0.43	0.6753
L00000138	C728776	Residential Mortgage	Other Texas Region	2023-09-20	2035-09-20	147841.3	89241.32	7.2877	177883.69	Residential_Mortgage	0	Current	100977	764	0.26	0.5017
L00000139	C807611	Commercial Real Estate (CRE)	Other Texas Region	2022-11-21	2032-11-21	339905.97	143688.18	6.8021	437796.41	Office	0	Current	-1	-1	-1	0.3282
L00000140	C384806	Commercial Real Estate (CRE)	Other Texas Region	2020-10-12	2044-10-12	1179569.57	1103533.92	8.1018	1437694.91	Multi-Family	0	Current	-1	-1	-1	0.7676
L00000141	C894824	Personal Unsecured	Other Texas Region	2019-02-25	2026-02-25	207171.99	72393.15	5.5516	-1	Personal_Unsecured	0	Current	55934	770	0.23	0.2543
L00000142	C130535	Personal Unsecured	Killeen, TX Metro	2020-11-04	2033-11-04	64672.88	18406.53	9.8656	-1	Personal_Unsecured	0	Current	111052	787	0.36	0.275
L00000143	C475713	Commercial Real Estate (CRE)	Other Texas Region	2023-08-28	2038-08-28	2365437.52	2149911.35	7.1358	3119383.19	Retail	0	Current	-1	-1	-1	0.6892
L00000144	C938688	Residential Mortgage	Other Texas Region	2019-06-06	2041-06-06	279730.47	126770.07	9.2972	309180.39	Residential_Mortgage	0	Current	78057	751	0.51	0.41
L00000145	C451279	Consumer Auto	Other Texas Region	2019-08-02	2035-08-02	325615.59	55490.13	12.8903	443970.82	Consumer_Auto	0	Current	123332	707	0.23	0.125
L00000146	C921654	Residential Mortgage	Killeen, TX Metro	2021-10-02	2033-10-02	56613.32	15933.86	8.2836	62107.22	Residential_Mortgage	0	Current	127815	707	0.41	0.2566
L00000147	C701661	Consumer Auto	Other Texas Region	2020-02-05	2034-02-05	225519.2	191686.29	8.192	259545.06	Consumer_Auto	0	Current	81895	715	0.21	0.7385
L00000148	C747972	Commercial Real Estate (CRE)	Other Texas Region	2020-06-25	2036-06-25	157395.35	93473.81	7.3318	167909.69	Office	0	Current	-1	-1	-1	0.5567
L00000149	C589570	Consumer Auto	Other Texas Region	2021-10-05	2039-10-05	56193.15	23808.02	10.3951	57097.9	Consumer_Auto	0	Current	124460	594	0.43	0.417
L00000150	C556551	Residential Mortgage	Other Texas Region	2019-01-20	2032-01-20	82302.31	43914.06	9.8671	92017.43	Residential_Mortgage	0	Current	121120	692	0.51	0.4772
L00000151	C373109	Residential Mortgage	Other Texas Region	2021-09-16	2042-09-16	113138.45	79795.49	6.4151	156808.06	Residential_Mortgage	0	Current	20000	780	0.23	0.5089
L00000152	C124538	Residential Mortgage	Other Texas Region	2023-01-01	2030-01-01	402773.32	165118.3	12.8936	515827.28	Residential_Mortgage	0	Current	136300	719	0.49	0.3201
L00000153	C994498	Residential Mortgage	Killeen, TX Metro	2022-12-12	2030-12-12	286224.18	115922.48	13.2104	372295.13	Residential_Mortgage	0	Current	129807	798	0.55	0.3114
